2,Social and Emotional,Begins to smile at people,http://phil.cdc.gov/PHIL_Images/20651/20651_lores.jpg
2,Social and Emotional,Can briefly calm herself (may bring hands to mouth and suck on hand),http://phil.cdc.gov/PHIL_Images/20653/20653_lores.jpg
2,Social and Emotional,Tries to look at parent,http://phil.cdc.gov/PHIL_Images/20654/20654_lores.jpg
2,Language and Communication,"Coos, makes gurgling sounds",http://phil.cdc.gov/PHIL_Images/20655/20655_lores.jpg
2,Language and Communication,Turns head toward sounds,http://phil.cdc.gov/PHIL_Images/20656/20656_lores.jpg
2,Cognitive,Pays attention to faces,http://phil.cdc.gov/PHIL_Images/20657/20657_lores.jpg
2,Cognitive,Begins to follow things with eyes and recognize people at a distance,http://phil.cdc.gov/PHIL_Images/20658/20658_lores.jpg
2,Cognitive,"Begins to act bored (cries, fussy) if activity doesn’t change",http://phil.cdc.gov/PHIL_Images/20659/20659_lores.jpg
2,Movement/Physical Development,Can hold head up and begins to push up when lying on tummy,http://phil.cdc.gov/PHIL_Images/20660/20660_lores.jpg
2,Movement/Physical Development,Makes smoother movements with arms and legs,http://phil.cdc.gov/PHIL_Images/20661/20661_lores.jpg
4,Social and Emotional,"Smiles spontaneously, especially at people",http://phil.cdc.gov/PHIL_Images/20662/20662_lores.jpg
4,Social and Emotional,Likes to play with people and might cry when playing stops,http://phil.cdc.gov/PHIL_Images/20663/20663_lores.jpg
4,Social and Emotional,"Copies some movements and facial expressions, like smiling or frowning",http://phil.cdc.gov/PHIL_Images/20664/20664_lores.jpg
4,Language and Communication,Begins to babble,http://phil.cdc.gov/PHIL_Images/20665/20665_lores.jpg
4,Language and Communication,Babbles with expression and copies sounds he hears,http://phil.cdc.gov/PHIL_Images/20666/20666_lores.jpg
4,Language and Communication,"Cries in different ways to show hunger, pain, or being tired",http://phil.cdc.gov/PHIL_Images/20667/20667_lores.jpg
4,Cognitive,Lets you know if he is happy or sad,http://phil.cdc.gov/PHIL_Images/20668/20668_lores.jpg
4,Cognitive,Responds to affection,http://phil.cdc.gov/PHIL_Images/20669/20669_lores.jpg
4,Cognitive,Reaches for toy with one hand,http://phil.cdc.gov/PHIL_Images/20670/20670_lores.jpg
4,Cognitive,"Uses hands and eyes together, such as seeing a toy and reaching for it",http://phil.cdc.gov/PHIL_Images/20671/20671_lores.jpg
4,Cognitive,Follows moving things with eyes from side to side,http://phil.cdc.gov/PHIL_Images/20672/20672_lores.jpg
4,Cognitive,Watches faces closely,http://phil.cdc.gov/PHIL_Images/20673/20673_lores.jpg
